Name,Address,Phone,Website,Operating_Hours,Dinner_cost,Lunch_cost,Rating,Reviews
Kinshichousushikuroshiokaikou,3-chome-8-12-5F Kotobashi Sumida City Tokyo,050-5872-7273,https://tabelog.com/en/tokyo/A1312/A131201/13256513/,11：30~23:00※通常通り営業中、酒類の提供もしています。,"￥8,000～￥9,999","￥3,000～￥3,999",3.09,13
shibuyasushisuburimu,32-15 Udagawacho Shibuya City Tokyo,050-5872-3787,https://tabelog.com/en/tokyo/A1303/A130301/13254587/,ランチ11:30~15:0016:00~24:00,"￥10,000～￥14,999","￥5,000～￥5,999",3.4,44
Gyorogyoro,4-chome-3-1 Toyo Koto City Tokyo-to,050-5590-6158,https://tabelog.com/en/tokyo/A1313/A131303/13027693/,※状況次第で営業日・営業時間を変更をする可能性がありますのでネットからご予約可能でもお店へご確認ください。【平日・祝前日】ランチ11:30-14:30／ディナー16:30-20:00【土日・祝日】ランチ11:30-17:00／ディナー17:00-20:00,"￥4,000～￥4,999",～￥999,3.29,44
Azabujuubammatsueizushi,Tokyo Minato City Azabujuban 2 Chome−5−３ グリーンヒル 3階,050-5593-1080,https://tabelog.com/en/tokyo/A1307/A130702/13202105/,ランチ営業（月～土）（祝日休み）12：00～15：00（Food L.O. 14:00、Drink L.O. 14:30）ディナー営業（月～土）17：00～23：30（Food L.O. 22:00、Drink L.O. 23:00）,"￥15,000～￥19,999","￥6,000～￥7,999",3.49,44
Ajuuta,37-15 Udagawacho Shibuya City Tokyo,050-5872-9442,https://tabelog.com/en/tokyo/A1303/A130301/13257494/,[一部] 17:30～20:00[二部] 20:30～23:00,"￥20,000～￥29,999",-,3.09,19
Sushizammai,2-chome-9-4 Shinbashi Minato City Tokyo-to,050-5593-9068,https://tabelog.com/en/tokyo/A1301/A130103/13156282/,［月～木・土日祝］11:00～翌6:00　［金］11:00～翌7:00,"￥3,000～￥3,999","￥1,000～￥1,999",3.24,95
Sushiugatsu,3-chome-11-10 Shimouma Setagaya City Tokyo-to,050-5457-3191,https://tabelog.com/en/tokyo/A1317/A131706/13250868/,12:00からのみ17:00～18:00(最終入店),"￥20,000～￥29,999","￥10,000～￥14,999",3.14,9
Sushimatsui,3-chome-13-6 Akasaka Minato City Tokyo-to,050-5457-0456,https://tabelog.com/en/tokyo/A1308/A130801/13249002/,平日；17時-24時土曜日・祝日；ランチ　12-14:30時　　ディナー　17-24時,"￥20,000～￥29,999","￥6,000～￥7,999",3.0,0
Umaisushikan,2-chome-7-18 Ginza Chuo City Tokyo-to,050-5457-0467,https://tabelog.com/en/tokyo/A1301/A130101/13249438/,誠に勝手ながら、営業時間を下記の通りに変更して営業中です。11:30～20：00(LO/30分前)※中休みなし,"￥8,000～￥9,999","￥2,000～￥2,999",3.05,13
nihonryouriyachiyo,3-chome-2-1 Marunouchi Chiyoda City Tokyo-to,050-5596-5882,https://tabelog.com/en/tokyo/A1301/A130102/13030520/,■ランチ11:30～14:30(L.O.) ■ディナー【平日】17:30～21:30(L.O.) 【土日・祝】17:30～20:30(L.O.)※最新の営業時間は、公式サイトにてご確認ください。,"￥15,000～￥19,999","￥6,000～￥7,999",3.03,5
Sushimasa,3-chome-11-5 Kanda Ogawamachi Chiyoda City Tokyo-to,050-5456-3512,https://tabelog.com/en/tokyo/A1310/A131002/13011654/,[月～土]12:00〜14:00 ランチは予約を頂いた日のみ営業させて頂きます！17:00～22:00 L.O お客様に合わせて23時頃閉店17:00〜ピックアップお持ち帰り可　（前日までのお電話ですとスムーズにテイクアウトのご案内が可能です）,"￥15,000～￥19,999","￥5,000～￥5,999",3.51,32
Edomaebikkurizushi,3-chome-57-7 Izumi Suginami City Tokyo-to,050-5457-8397,https://tabelog.com/en/tokyo/A1318/A131805/13021062/,【平日】　11:30～15:00（LO.14:30）/17:00～20:00（LO.19:30）【土日祝】11:30～20:00（LO.19:30）※酒類のご提供はさせていただきます。※当面の間はメニュー、お席を制限してのご案内となっております。予めご了承下さいませ。,"￥4,000～￥4,999","￥1,000～￥1,999",3.13,32
Sushiyuumu,4-chome-11-25 Nishiazabu Minato City Tokyo-to,050-5596-8456,https://tabelog.com/en/tokyo/A1307/A130703/13230826/,【月〜金】17:30〜22:00  (LO 21:30)【土】17:30〜22:00  (LO 21:30)【金・土】12:00〜13:30(LO13:00)※前日予約で2名様以上の場合のみ営業,"￥20,000～￥29,999","￥10,000～￥14,999",3.14,15
Sushihiraoka,Konan Minato City Tokyo,050-5869-1241,https://tabelog.com/en/tokyo/A1314/A131403/13058841/,月～土17:00～23:00（L.O.22:30）,"￥10,000～￥14,999",-,3.31,11
Kaitentoyamazushi,8-chome-2-16 Ginza Chuo City Tokyo-to,050-5457-5279,https://tabelog.com/en/tokyo/A1301/A130103/13242663/,【月曜日〜日曜日】11時〜20時(アルコール提供19時まで)（ランチメニューは平日11時〜16時限定）東京都の要請に合わせて変更あり。,"￥2,000～￥2,999","￥1,000～￥1,999",3.47,67
Masuzushi,1-chome-1-7 Yaesu Chuo City Tokyo,050-5890-7339,https://tabelog.com/en/tokyo/A1302/A130201/13253724/,昼11:30〜14:00夜17:00〜23:00（L.O.22:30）東京都の要請に従い、営業時間を短縮する場合がございます。最新の情報は「お店からの大切なお知らせ」や各SNSを御覧ください。,"￥8,000～￥9,999",～￥999,3.0,1
KYOTO HYOKI,7-chome-16-14 Ginza Chuo City Tokyo-to,050-5868-3474,https://tabelog.com/en/tokyo/A1301/A130101/13101843/,●月曜日～金曜日12:00-14:00　（L.O.13:30）17:30-22:30　（L.O.21:30）●土曜日17:30-22:30　（L.O.21:30）土曜昼、日曜祝日は前日までのご予約のみ営業とさせて頂きます。※ご予約受付が出来ない場合もございます。予めご了承くださいませ。※夜メニューに限らせていただきます。お問合せください。※5名様以上から承ります。,"￥8,000～￥9,999","￥1,000～￥1,999",3.52,94
Misuji,1-chome-8-1 Higashishinbashi Minato City Tokyo-to,050-5890-9889,https://tabelog.com/en/tokyo/A1301/A130103/13126134/,11：00～15：00（L.O.14：30） 17：00～22：30（L.O.22：00）,"￥10,000～￥14,999","￥2,000～￥2,999",3.55,92
Aoizushi,2-chome-17-3 Shinkoiwa Katsushika City Tokyo-to,050-5589-2225,https://tabelog.com/en/tokyo/A1312/A131204/13070125/,ランチ　11：30～15：00(L.O14：45)　　　　　　　　　　　日曜。祝日も営業　ディナー【月～土】16：30～22：00（L.O.21：30）【日曜・祝日】16：30～21：00（L.O.20：45）,"￥6,000～￥7,999",～￥999,3.08,6
kanzenkoshitsutenzushi,3-chome-5-11 Shinbashi Minato City Tokyo-to,050-5592-7271,https://tabelog.com/en/tokyo/A1301/A130103/13200495/,16:00～24:00(LO.23:00),"￥8,000～￥9,999",-,3.33,79
ginzasushitajima,6-chome-4-12 Ginza Chuo City Tokyo-to,050-5595-4512,https://tabelog.com/en/tokyo/A1301/A130101/13165100/,※都の要請に伴い、当面の間【20：00閉店】とさせていただきます。ご迷惑をおかけいたしますが、ご理解賜りますようお願い申し上げます。【月～金】11:30～14:00（13:30 L.O.）17:00～20:00【土】11:30～14:00（13:30 L.O.）17:00～20:00,"￥8,000～￥9,999","￥1,000～￥1,999",3.51,84
atoriemorimotozekkusu,Tokyo Minato City Roppongi 7 Chome−21 六本木ビル １９I.K.N,050-5868-3356,https://tabelog.com/en/tokyo/A1307/A130701/13019711/,●鉄板焼(B1F)・プライベートルーム(2F)日～木・祝日：17:00～23:00金・土・祝前日：17:00～28:00●寿司(1F) 日～木・祝日：17:00～23:00金・土・祝前日：17:00～28:00●BAR(1F)・LOUNGE(2F)日～木・祝日：17:00～23:00金・土・祝前日：17:00～28:00,"￥15,000～￥19,999",-,3.67,126
Sushisakamoto,5-chome-4-14 Ginza Chuo City Tokyo-to,050-5593-8540,https://tabelog.com/en/tokyo/A1301/A130101/13207580/,東京都及び国からの要請を受け、営業時間を短縮させていただきます。平日12：00～14：00　18：00～20：00土曜日12：00～14：00　18：00～20：00また、酒類の提供は控えさせて頂きます。日にちにより休業の場合もありますので、お電話にてご確認くださいませ。,"￥20,000～￥29,999","￥8,000～￥9,999",3.68,46
Sushikakuno,Roppongi Minato City Tokyo,050-5593-9853,https://tabelog.com/en/tokyo/A1307/A130701/13207047/,[月〜金]18:00〜22:30(L.O)[土・祝]18:00〜22:00(L.O),"￥10,000～￥14,999",-,3.08,6
hachioujisushiyokota,5-14 Misakicho Hachioji Tokyo,050-5872-5145,https://tabelog.com/en/tokyo/A1329/A132904/13255365/,年中無休11:00~14:0016:00～23:00,"￥10,000～￥14,999","￥3,000～￥3,999",3.09,14
Koshitsukappousushikitaooji,Konan Minato City Tokyo,050-5594-8878,https://tabelog.com/en/tokyo/A1314/A131403/13216477/,月～金 17：00～21：00（L.O.19：30）土　　 11：30～15：00（L.O.13：30）　17：00～21：00（L.O.19：00）日曜日・祝日は、姉妹店の同ビル地下1階の北大路品川茶寮は営業しております。（ランチタイムのみ）,"￥6,000～￥7,999","￥4,000～￥4,999",3.09,34
sushizammaitakumi,Roppongi Minato City Tokyo,050-5593-9050,https://tabelog.com/en/tokyo/A1307/A130701/13042065/,［日祝・月～木］11:00～翌7:00［金・土］11:00～翌8:00,"￥3,000～￥3,999","￥1,000～￥1,999",3.25,91
Zan,4-chome-12-2 Tsukiji Chuo City Tokyo-to,050-5869-3941,https://tabelog.com/en/tokyo/A1313/A131301/13112646/,緊急事態宣言により、4/25(日)～5/11(火)まで営業時間を下記に変更ランチ10:30～14:00、ディナー17:00～20:00（L.O19:00）※終日酒類の提供は致しません【火～金】ランチ　　10:30～14:00ディナー　17:00～20:00（19:00L.O）【土・日・祝日】ランチ　　10:30～14:30ディナー　17:00～20:00（19:00L.O）,"￥4,000～￥4,999","￥1,000～￥1,999",3.43,52
Uoharu,6-chome-29-4 Haramachida Machida Tokyo-to,050-5457-1054,https://tabelog.com/en/tokyo/A1327/A132701/13250022/,16:00～24:00（L.O.23:30）※日曜日・祝日は13時より営業※東京都の緊急事態宣言に伴い7月12日～8月22日までの期間、閉店時間を15時とさせていただきます。ランチメニューのみのご案内となります。上記期間酒類の提供を停止しております。,"￥4,000～￥4,999","￥1,000～￥1,999",3.08,5
sushitonihonryouriginzaninomae,6 Chome-2-1 Ginza Chuo City Tokyo-to,050-5593-9966,https://tabelog.com/en/tokyo/A1301/A130101/13210195/,ランチ　　11:30～15:00ディナー　17:00～23:00,"￥15,000～￥19,999","￥6,000～￥7,999",3.61,82
Uenosushiyokota,7-chome-2-5 Ueno Taito City Tokyo,050-5890-6765,https://tabelog.com/en/tokyo/A1311/A131101/13260626/,ランチ     11:30～15:00ディナー  16:00～24:00,"￥10,000～￥14,999","￥6,000～￥7,999",3.0,2
sushijinsei,6-chome-14-7 Ueno Taito City Tokyo-to,050-5597-2671,https://tabelog.com/en/tokyo/A1311/A131101/13233806/,ランチ　　12：00～14：00(LO13：30)ディナー　月～金 16：00～23：00(L.O.22:00)土日祝 17：00～23：00(L.O.22:00),"￥8,000～￥9,999","￥3,000～￥3,999",3.4,76
Sushidokorokinnodashi,Sotokanda Chiyoda City Tokyo,050-5595-2341,https://tabelog.com/en/tokyo/A1310/A131001/13218570/,[月～金]11:30～23:00[土日祝]12:00～23:00お電話は13:00～17:00に比較的繋がります。,"￥4,000～￥4,999","￥2,000～￥2,999",3.25,28
Sushinoisomatsu,3-chome-5-25 Kamimeguro Meguro City Tokyo-to,050-5592-7988,https://tabelog.com/en/tokyo/A1317/A131701/13200167/,ランチ11:30~14:30(Lo14:00)ディナー17:00~22:00(Lo21:00),"￥6,000～￥7,999","￥1,000～￥1,999",3.25,22
asakusabashishukounikusushi,1-chome-20-1 Asakusabashi Taito City Tokyo-to,050-5594-8864,https://tabelog.com/en/tokyo/A1311/A131103/13216398/,11:30～14:30（LO 14:00）17:00～23:30（LO 23:00）,"￥3,000～￥3,999",～￥999,3.22,20
Daikanyamasushitakeuchi,5-8 Sarugakucho Shibuya City Tokyo-to,050-5594-1561,https://tabelog.com/en/tokyo/A1303/A130303/13210936/,昼 12:00〜14:00夜 18:00〜23:00※緊急事態宣言により営業時間の変更がございます。店舗に確認の上、ご予約お願いいたします。,"￥15,000～￥19,999","￥6,000～￥7,999",3.69,72
Tsukudatakisaburousushi,2-chome-14-1 Asakusa Taito City Tokyo-to,050-5868-0475,https://tabelog.com/en/tokyo/A1311/A131102/13249227/,11:30~14:30 17:00~22:00 (L.O 21:30)土日祝 12:00~14:30　16：00～22：00ネタが無くなり次第終了,"￥3,000～￥3,999",～￥999,3.08,9
Sushizammai,2-chome-7-12 Ueno Taito City Tokyo-to,050-5869-1773,https://tabelog.com/en/tokyo/A1311/A131101/13097384/,11：00~23：00(L.O.22:45),"￥2,000～￥2,999","￥1,000～￥1,999",3.36,119
Hamayakisakabakaiou,3-chome-21-3 Uchikanda Chiyoda City Tokyo-to,050-5597-8983,https://tabelog.com/en/tokyo/A1310/A131002/13247961/,緊急事態宣言の延長を受けまして、6月20日まで休業いたします。【月～土】15：00～【日・祝】休み※東京都の要請により、予告なく営業時間を変更する場合がございます。,"￥3,000～￥3,999",-,3.06,4
Sushinjuku,Shinjuku Shinjuku City Tokyo,050-5890-5951,https://tabelog.com/en/tokyo/A1304/A130401/13260491/,11:30～翌3:00,"￥3,000～￥3,999","￥1,000～￥1,999",3.0,3
nihonryourisushiashibi,Ochiai Tama Tokyo,050-5595-2834,https://tabelog.com/en/tokyo/A1327/A132702/13031861/,ランチ 　11:30～15:00(L.O.14:30) ディナー 17:00～20:00(L.O.19:30）政府による緊急事態宣言を受け、営業時間を短縮し酒類の提供を休止させていただきます。お客様にはご迷惑をおかけ致しますが、ご理解の程お願い申し上げます。期間：２０２１年８月２２日（日）まで,"￥5,000～￥5,999","￥2,000～￥2,999",3.21,12
Sushimatsumoto,Tokyo Chiyoda City Kanda Surugadai 2-chome−６−１１,050-5872-2851,https://tabelog.com/en/tokyo/A1310/A131002/13254498/,12:00~14:0017:00~0:00,"￥10,000～￥14,999","￥3,000～￥3,999",3.05,6
Otarumasazushi,1-chome-7-7 Ginza Chuo City Tokyo-to,050-5595-4447,https://tabelog.com/en/tokyo/A1301/A130101/13108000/,[月～土]　ランチ　　11:30～15:00(L.O.14:30)ディナー　17:30～22:00(L.O.21:00),"￥10,000～￥14,999","￥3,000～￥3,999",3.64,149
sushioumi,5-chome-8-5 Minamiaoyama Minato City Tokyo-to,050-5597-7425,https://tabelog.com/en/tokyo/A1306/A130602/13237445/,[月～日]ランチ　　12:00~14:00[月～金]ディナー　17:00~23:00[土・日・祝]ディナー　16:00~23:00,"￥10,000～￥14,999","￥1,000～￥1,999",3.41,71
ebisusushiogino,1-chome-9-7 Ebisunishi Shibuya City Tokyo-to,050-5595-8448,https://tabelog.com/en/tokyo/A1303/A130302/13223561/,通常営業時間土.日．祝日ランチ　　12：00～14：00（L.O13：00）平日ランチ営業は御座いませんディナー　17：00～23：00（L.O21：30）,"￥10,000～￥14,999","￥6,000～￥7,999",3.38,71
sushimiyakawa,3-chome-20-5 Shinjuku Shinjuku City Tokyo-to,050-5596-1730,https://tabelog.com/en/tokyo/A1304/A130401/13225370/,ランチ11:30~14:30ディナー14:30~24:00,"￥8,000～￥9,999","￥2,000～￥2,999",3.39,87
Sushiryou,8-chome-18-16 Ginza Chuo City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1301/A130103/13248221/,[月～土]17:00～23:00時間外をご希望の場合予約の際にお伝え下さい。政府、東京都からの要請により営業時間を変更しております。,"￥20,000～￥29,999",-,3.09,25
Sushitosumibihajime,5-chome-22-3 Kamata Ota City Tokyo-to,050-5456-5091,https://tabelog.com/en/tokyo/A1315/A131503/13242646/,17:00〜翌2:00,"￥4,000～￥4,999",-,3.14,9
Ginzagenkaizushi,7-chome-2-11 Ginza Chuo City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1301/A130101/13231731/,【平日】17:00～翌3:00（L.O.02:30）【土】　17:00～24:00（L.O.翌23:30）,"￥8,000～￥9,999",-,3.06,4
kinkasushiba-izakaya,3-10 Udagawacho Shibuya City Tokyo-to,050-5592-6582,https://tabelog.com/en/tokyo/A1303/A130301/13199924/,営業時間Lunch[月～日・祝]11:30～16:00(15:00L.O)Dinner[月〜日・祝]17:00〜23:00(22:00L.O),"￥4,000～￥4,999","￥1,000～￥1,999",3.5,154
ebisukoubegyuushiorianyamashiro,1-chome-8-1 Ebisuminami Shibuya City Tokyo-to,050-5868-1171,https://tabelog.com/en/tokyo/A1303/A130302/13249259/,ランチ　　12:00~14:00ディナー　17:00~23:00,"￥15,000～￥19,999","￥5,000～￥5,999",3.14,42
Sushisasaya,560 Wasedatsurumakicho Shinjuku City Tokyo-to,050-5594-9675,https://tabelog.com/en/tokyo/A1305/A130504/13029226/,17：00～23：00（L.O.22：30）,"￥5,000～￥5,999",-,3.13,8
sushizammaitakumi,3-chome-10-9 Roppongi Minato City Tokyo-to,050-5593-9047,https://tabelog.com/en/tokyo/A1307/A130701/13009721/,24時間営業,"￥3,000～￥3,999","￥1,000～￥1,999",3.08,57
gotandasushisushitoukyoueitowan,1-chome-20-9 Higashigotanda Shinagawa City Tokyo-to,050-5597-1296,https://tabelog.com/en/tokyo/A1316/A131603/13232557/,【月～金】1部：18:00～20:002部：20:30～22:00(※現在休業中）【土日・祝日】11:30〜21:00※土曜日はお二階のお席でのご案内になります。,"￥15,000～￥19,999","￥5,000～￥5,999",3.56,92
Uoshin,4-chome-8-12 Ginza Chuo City Tokyo-to,050-5456-3019,https://tabelog.com/en/tokyo/A1301/A130101/13144140/,［平日］17:00～24:00(L.O.23:00)［土曜］16:30〜24:00(L.O.23:00)［日祝］16:00〜24:00(L.O23:00),"￥6,000～￥7,999",-,3.33,75
Sushimatsumoto,1-chome-11-10 Kabukicho Shinjuku City Tokyo,050-5868-7934,https://tabelog.com/en/tokyo/A1304/A130401/13252113/,★酒類に関して通常通り販売となります！！★深夜営業しております！！ランチ　　12:00~14:00ディナー　17:00~29:00,"￥10,000～￥14,999","￥3,000～￥3,999",3.09,34
Sushiaoi,6-chome-7-2 Seijo Setagaya City Tokyo,050-5872-3068,https://tabelog.com/en/tokyo/A1318/A131814/13253907/,営業時間[月～金]昼11:00～15:00（ラストオーダー14:00)夜17:00～20:00（ラストオーダー19:30)※時短営業中[土・日・祝]11:00～20:00（ラストオーダー19:30)※時短営業中高級寿司屋にも負けない鮮度抜群の食材を使用したコースをリーズナブルに提供いたしております！和モダン・カジュアルな店内は、女子会やファミリーでの食事にも人気です,"￥3,000～￥3,999","￥1,000～￥1,999",3.06,8
Sakanayagohei,Konan Minato City Tokyo,050-5594-5226,https://tabelog.com/en/tokyo/A1314/A131403/13023686/,■各自治体の要請に基づき、～6/20まで20時閉店（フード、ドリンクラストオーダー19時）、6/21～通常営業とさせていただきます。月～金ランチ　11:30～14:00ディナー　16:00～24:00土・祝日ディナー　15:00～24:00,"￥4,000～￥4,999",～￥999,3.44,57
Miyaba,2-chome-11-8 Hamamatsucho Minato City Tokyo-to,050-5868-3144,https://tabelog.com/en/tokyo/A1314/A131401/13019499/,11:30～14:00(L.O) 17:00～19:30(L.O),"￥30,000～￥39,999","￥6,000～￥7,999",3.9,179
Sushikazu,2-chome-10-8 Ikebukuro Toshima City Tokyo-to,050-5570-5864,https://tabelog.com/en/tokyo/A1305/A130501/13036573/,※7月13日からの当面の営業時間について営業時間火〜金 16:00~20:30土日祝 16:00~20:30電話・店頭にてテイクアウトの受付を行っております。,"￥5,000～￥5,999",-,3.21,25
Sushiteiden,4-chome-11-9 Ebisu Shibuya City Tokyo-to,050-5597-1267,https://tabelog.com/en/tokyo/A1303/A130302/13232238/,昼11：30～15：00夜17：00～23：00,"￥15,000～￥19,999","￥10,000～￥14,999",3.08,5
Taishuusakabasushisumibi,1-chome-40-10 Sangenjaya Setagaya City Tokyo-to,050-5594-8101,https://tabelog.com/en/tokyo/A1317/A131706/13214566/,現在、営業時間を変更して全日15：00～23：30（L.O　23：00）毎日営業中！スシスミビ16:00～翌0:30〔金・祝前日〕16:00～翌1:30〔土〕15:00～翌1:30〔日･祝〕15:00～23:30,"￥3,000～￥3,999",-,3.3,36
Uoshin,2-chome-25-5 Dogenzaka Shibuya City Tokyo-to,050-5456-4907,https://tabelog.com/en/tokyo/A1303/A130301/13001781/,2021年3月8日以降全日16時から23時にて営業中！,"￥4,000～￥4,999",-,3.53,230
Ikebukurosushisora,1-chome-23-1 Minamiikebukuro Toshima City Tokyo-to,050-5457-0936,https://tabelog.com/en/tokyo/A1305/A130501/13250240/,ランチ　　11:30～15:00 最終入店14:00ディナー　16:00～24:00 最終入店21:30,"￥10,000～￥14,999","￥3,000～￥3,999",3.29,38
Sushitsunaya,1-chome-8-3 Ebisuminami Shibuya City Tokyo-to,050-5592-2164,https://tabelog.com/en/tokyo/A1303/A130302/13197313/,【月～金・祝前日】11:30～15:00(LO:14:00)17:00～翌朝5:00(LO4:00)【土】通し営業11:30～15:00(LO14:00)15:00～翌朝5:00(LO4:00)【日・祝】通し営業11:30～15:00(LO14:00)　　15:00～22:00(LO21:00)※営業内容は変更になる場合があります。店舗にお問合せ下さい。,"￥6,000～￥7,999",～￥999,3.34,55
sharizatoukyousushiba-,2-chome-4-18 Ginza Chuo City Tokyo-to,050-5868-1596,https://tabelog.com/en/tokyo/A1301/A130101/13121794/,【ランチ】11:30-15:00(LO14:30)【ディナー】17:30-20:00 (LO19:00)【緊急事態宣言発出にともなう営業状況】政府の緊急事態宣言発出にともない、8月22(日)まで20:00閉店(19:00L.O)とさせていただきます。また、期間中の酒類提供は終日中止させていただきます。,"￥5,000～￥5,999","￥1,000～￥1,999",3.49,245
Nanairotemariuta,3-chome-28-10 Shinjuku Shinjuku City Tokyo-to,050-5869-7461,https://tabelog.com/en/tokyo/A1304/A130401/13022043/,12:00~23:30（L.O.22:30、ドリンクL.O.23:00）※新型コロナウィルスの感染拡大防止等の観点から、状況により営業日及び営業時間を変更する場合がございます。詳細は店舗までお問合せ下さい。,"￥4,000～￥4,999","￥1,000～￥1,999",3.28,70
Sushibarushibuyakou,33-12 Udagawacho Shibuya City Tokyo-to,050-5457-2947,https://tabelog.com/en/tokyo/A1303/A130301/13250970/,日曜～木曜日11:30～00:00金曜・土曜日11:30～翌05:00,"￥3,000～￥3,999","￥1,000～￥1,999",3.06,4
Machidasushisora,6-chome-15-16 Haramachida Machida Tokyo,050-5869-2205,https://tabelog.com/en/tokyo/A1327/A132701/13252134/,11:30〜14:0016:00〜24:00,"￥8,000～￥9,999","￥2,000～￥2,999",3.33,25
Ikebukurosushiyokota,1-chome-10-1 Nishiikebukuro Toshima City Tokyo,050-5872-8529,https://tabelog.com/en/tokyo/A1305/A130501/13257442/,昼 11:30 ～ 14:00夜 16:00 ～ お料理最終提供22:00,"￥10,000～￥14,999","￥3,000～￥3,999",3.09,20
Sushikiyoshi,7-chome-3-8 Ginza Chuo City Tokyo-to,050-5597-2672,https://tabelog.com/en/tokyo/A1301/A130101/13233807/,12:00~14:00　ランチ17:00~23:00　ディナー,"￥20,000～￥29,999","￥10,000～￥14,999",3.6,48
Sushidokoro sen,3-chome-42-7 Yushima Bunkyo City Tokyo-to,050-5872-2450,https://tabelog.com/en/tokyo/A1311/A131101/13247353/,[月～土]17:00～翌2:00(L.O.翌1:30),"￥10,000～￥14,999",-,3.09,7
sushiuogashinihonichi,3-chome-9-4 Akasaka Minato City Tokyo-to,050-5872-4534,https://tabelog.com/en/tokyo/A1308/A130801/13021509/,【月～金】11:00～23:30【土日祝】11:30～21:00,"￥4,000～￥4,999",～￥999,3.18,53
